date,balance
2025-11-06,3750128
2025-11-07,3715064
2025-11-10,3580682
2025-11-11,3656809
2025-11-12,3658433
2025-11-13,3648116
2025-11-14,3612096
2025-11-17,3637592
2025-11-18,3781010
2025-11-19,3797338
2025-11-20,3833059
2025-11-21,3859371
2025-11-24,3903587
2025-11-25,3826966
2025-11-26,3807959
2025-12-01,3832585
2025-12-02,3850424
2025-12-03,3785412
2025-12-04,3813494
2025-12-05,3772953
2025-12-08,3816341
2025-12-09,3866852
2025-12-10,3906051
2025-12-11,3804248
2025-12-12,3589875
2025-12-15,3663493
2025-12-16,3693969
2025-12-17,3782318
2025-12-18,3836795
2025-12-19,3799620
2025-12-22,3834585
2025-12-23,3858008
2025-12-24,3836748
2025-12-26,3857491
2025-12-29,3831994
2025-12-30,3798275
2025-12-31,3838829
2026-01-02,3887680
2026-01-05,3880399
2026-01-06,3840309
2026-01-07,3822490
2026-01-08,3563809
2026-01-09,3592411
2026-01-12,3636905
2026-01-13,3679887
2026-01-14,3675944
2026-01-15,3691686
2026-01-16,3634271
2026-01-20,3732670
2026-01-21,3726210
2026-01-22,3706638
2026-01-23,3695358
2026-01-26,3598943
2026-01-27,3645364
2026-01-28,3673973
2026-01-29,3667246
2026-01-30,3689689
2026-02-02,3702970
2026-02-03,3667041
2026-02-04,3597201
2026-02-05,3642307
2026-02-06,3589970
2026-02-09,3540229
2026-02-10,3636203
2026-02-11,3645382
2026-02-12,3664528
2026-02-13,3650526
2026-02-17,3576709
2026-02-18,3585822
2026-02-19,3598254
2026-02-20,3729389
2026-02-23,3648888
2026-02-24,3528913
2026-02-25,3549351
2026-02-26,3581441
2026-02-27,3555995
2026-03-02,3547536
2026-03-03,3533609
2026-03-04,3559892
2026-03-05,3550813
2026-03-06,3532171
2026-03-09,3547652
2026-03-10,3504793
2026-03-11,3492819
2026-03-12,3419823
2026-03-13,3402767
2026-03-16,3466970
2026-03-17,3485845
2026-03-18,3404019
2026-03-19,3403709
2026-03-20,3331959
2026-03-23,3382584
2026-03-24,3340270
2026-03-25,3359083
2026-03-26,3332969
2026-03-27,3206553
2026-03-30,3104654
2026-03-31,3228921
2026-04-01,3258304
2026-04-02,3248794
2026-04-06,3287386
2026-04-07,3273932
2026-04-08,3380277
2026-04-09,3368065
2026-04-10,3310413
2026-04-13,3381508
2026-04-14,3420506
2026-04-15,3445515
2026-04-16,3442655
2026-04-17,3514704
2026-04-20,3527837
2026-04-21,3486030
2026-04-22,3543858
2026-04-23,3594697
